product_id,title,slug,reason
4058,Nutritive Mineral Formula,nutritive-mineral-formula,no_match_found
4086,"Alfalfa Leaf, Organic, 1oz. bag",alfalfa-leaf-organic-1oz-bag,no_match_found
4194,"Goldenseal Leaf, Organic, 1oz. bag",goldenseal-leaf-organic-1oz-bag,no_match_found
4209,Oregano Oil Liquid Capsules Standardized 60ct,oregano-oil-liquid-capsules-standardized-60ct,no_match_found
4451,Myrrh Gum Tincture 1oz.,myrrh-gum-tincture-1oz,no_match_found
4457,Oregon Grape Root Tincture 1oz.,oregon-grape-root-tincture-1oz,no_match_found
4460,Wild Oregano Oil 1oz.,wild-oregano-oil-1oz,no_match_found
4606,Throat Spray Relief 1oz.,throat-spray-relief-1oz,no_match_found
4612,Yeast Buster Tincture 1oz.,yeast-buster-tincture-1oz,no_match_found
4639,Ear Clear Oil 1oz.,ear-clear-oil-1oz,no_match_found
5627,"Olive Leaf, Organic, 1oz. bag",olive-leaf-organic-1oz-bag,no_match_found
5762,"Goji Berries, Organic, 1oz. bag",goji-berries-organic-1oz-bag,no_match_found
6507,"Bilberry Liquid Extract, 1oz.",bilberry-liquid-extract-1oz,no_match_found
6602,Lymph Mover,lymph-mover,no_match_found
7438,Olive Leaf Tincture 2oz.,olive-leaf-tincture-2oz,no_match_found
7479,Beet Essence Juice Powder 5.3oz,beet-essence-juice-powder-53oz,no_match_found
7733,"Spirulina Powder, 1 oz bag",spirulina-powder-1-oz-bag,no_match_found
7744,"White Pine Bark, 1 oz bag",white-pine-bark-1-oz-bag,no_match_found
7837,Hyaluronic Acid Supreme Capsules 60ct,hyaluronic-acid-supreme-capsules-60ct,no_match_found
8256,Eidon Electrolytes Liquid Concentrate 2oz,eidon-electrolytes-liquid-concentrate-2oz,no_match_found
9381,ClearPath NAC,clearpath-nac,no_match_found
9386,CurcuVital Complex,curcuvital-complex,no_match_found
9391,Dynamic Disc,dynamic-disc,no_match_found
9396,Grapefruit Seed Extract,grapefruit-seed-extract,no_match_found
9404,Microbiome Builder,microbiome-builder,no_match_found
9409,Triform Magnesium,triform-magnesium,no_match_found
9414,Zincberry Shield,zincberry-shield,no_match_found
9494,Cinnaflex Collagen,cinnaflex-collagen,no_match_found
9499,Omega Vital D,omega-vital-d,no_match_found
